deyim,acıklama
"Dözmek","Katlanmak, dayanmak."
"Dudu","(Tuti) Dudu kuşu, papağan."
"Duman","Bulut, sis."
"Duram","Durayım."
"Durasan","Durasın."
"Durasız","Durasınız."
"Durmuşam","Durmuşum."
"Durmuyi","Durmuyor."
"Durna","Turna."
"Durupsan","Durmuşsun, duruyorsun, durmuşsan, duruyorsan."
"Dutar","Tutar."
"Dübeş","Tavla oyununda zarların iki beşi göstermesi."
"Dübür","İki yaşındaki erkek keçi."
"Dügü","Pirinç."
"Dühan","Tütün, duman. Kur'an-ı Kerim'in 44. suresinin adı."
"Dülbent","Yazma."
"Dür","İnci."
"Dür eyle","Uzak dur."
"Düş","Rüya."
"Düşdi","Başladı, koyuldu."
"Düşeliden","Düştüğünden beri, düştüğü an."
"Düşem","Düşeyim."
"Düşersiz","Düşersiniz."
"Düşgüni","Düşkünü."
"Düşim","Düşeyim."
"Düşmek","İnmek."
"Düşüpsen","Düşmüşsün, düştün."
"Düşüptür","Düşüyor, düşmededir."
"Düz","Kır, ova, çöl."
"Düzmek","Dizmek, sıralamak, süslemek."
"Düzülür","Dizilir, sıralanır."
"Eazi","Aziz, izzetli, yüksek."
"Ebrişim","Kalınca bükülmüş ipek, iplik, saç, ibrişim."
"Ebru","Kaş."
"Ebrüm ebrüm","Büklüm büklüm, dalga dalga."
"Ebtüm","Dalga, büklüm."
"Ecel kuşları","Doğan, şahin, atmaca gibi avcı-yırtıcı-kuşlar."
"Ecel kuşu","Ölüm."
"Eda","Biçem [üslup], çalım, işve, naz."
"Eder","Der, der ki."
"Edim","Edeyim."
"Edin","Edin, verilen, eyleyin."
"Edip","Ederek, etti."
"Edna","Basit, değersiz."
"Efgan","Yüksek sesle yakınma, inleme."
"Eflak","Felek, felekler , gökler , alemler."
"Efsun","Sihirli, büyülü, çekici."
"Egans","Göl sularının 1841 'de yükselerek Erciş Kalesi'ni kaplamasından sonra, halkın Erciş Kalesi'ni bırakarak yerleştikleri köy, bugünkü Erciş'in kurulu bulunduğu yerin 1841'den önceki adı."
"Eger","Eğer."
"Eğlemek","Oyalamak, alıkoymak, geciktirmek."
"Eğlen","Dur, oyalan."
"Eğlenmek","Oyalanmak, gecikmek."
"Eğleşmek","Durmak, beklemek, oyalanmak."
"Eğn","Boyun."
"Eğnine","Üstüne."
"Eğrice","Eğri, kıvrık, kıvrılmış."
"Eğrice tel","Erkek yaban ördeğinin kuyruğunun üstündeki kıvrık, yeşil tüyler."
"Eğva","(İğva) Azdırma, baştan çıkarma."
"Ehdipeyman","(bkz: ahdipeyman]"
"Ehl-i beyt","Hane halkı, Hz. Muhammet'in ailesi. Hz. Muhammet, Hz Ali, Hz. Fatma, Hz. Hasan ve Hz. Hüseyin."
"Ehlidil","Gönül eri, sevecen."
"Ekdam","Gayret ve sebatla çalışma."
"El aman","Bozgun ve sızlanma anlatır."
"El I","Yabancı."
"El II","Oymak, oba."
"El III","İI, ülke."
"El tutan","EI uzatan, yardım eden."
"Elden ele","İlden ile, ülkeden ülkeye."
"Ele [eyle]","Öyle, o biçim."
"Elete","Ulaştıra, ilete, iletsin."
"Elif","1.Uzun ve ince boy yerine kullanılan bir benzetme. 2.Arap abece'sinin İlk harfi."
"Elifterezisi","Uzun ve hafif yay biçimi [kaş benzetmesİnde kullanılır.]"
"Elim","Bilim, ilim."
"Elin","Elini."
"Elinnen","Elinden."
"Ellerin","İllerin, ülkelerin."
"Ellerinen","Elleriyle."
"Elvan","Alemler, mahluklar, varlıklar, oluşlar."
"Em","İlaç, çare."
"Ember","[bkz: amber]"
"Emcek","Meme."
"Eme","Emse."
"Emi","Amca."
"Emim","Amcam."
"Emlik kuzu","süt kuzusu, süt emme çağındaki kuzu."
"Emmare","Emreden, zorlayan, cebreden."
"Emrah","Ercişli veya Erzurumlu Emrah"
"Emrah Gulamı","Ercişli Emrah."
"Enden","Ondan, işaretten."
"Enel Hak","Hallac-ı Mansur'un söylediği ''Ben Tanrı'yım'' anlamında meşhur bir söz dür ki, Mansur bu yüzden öldürülmüştür. Bu söz tasavvufta tek varlık (Vahdet vücut) felsefesine dayanır ."
"Engür","Üzüm."
"Enik","Kedi ve köpek yavrusu."
"Epizod","Bir şiirde, hikayede, romanda ana konuya bağlı ikinci derecede olay, ek."
"Er görmek","İse, olsa, olur ise."
"Erden","Erken vakitte, erkenden."
"Erdiş","Erciş."
"Eren [ermiş]","Benliğinden sıyrılmış, özünü, öz varlığmı Tanrı'ya adamış kimse. Evliya, veli."
"Erkan","Esaslar , destekler , direkler, reisler, önemli kişiler."
"Erkek","Erkek, cesur, sözünün eri."
"Ervah","Ruhlar, geçmiş atalar."
"Erzayıl","Azrail."
"Esgilmez","Eksilmez."
"Eshab","Sahipler , malik ve mutasarrıf olanlar , Peygamber'i görmek ve sohbetine"
"Esma","İsmin çoğulu, isimler."
"Esma-i hikmet","Hikmet isimleri."
"Esr","Yüzyıl."
"Esrar","Sırlar, gizler."
"Eşg [eşg]","Aşk."
"Eşi","Eşi, arkadaşı."
"Eşitmek","İşitmek, duymak."
"Eteğin döşür","Eteğini topla."
"Etmek","Etmek, yapmak, eylemek."
"Evedi","İvedi, acele."
"Evel","Evvel, önce."
"Ey","Ey, hey."
"Eyle I","Öyle, onun gibi."
"Eyle II","Söyle."
"Eylemek","Eylemek, etmek, yapmak."
"Eylerem","Eylerim."
"Eyliyim","Edeyim, eyliyeyim."
"Eyvan","Ayvan. Bir tarafı açık oda, aralık, salon."
"Eyvanmnan","Ayvanmdan."
"Eyyam","Günler ."
"Ezel","Öncesizlik, başlangıcı bilinmeyen zaman."
"Ezrayıl","Azrail."
"Fakı","Fakih, hoca, alim, din bilgini."
"Fakir Emrah","Ercişli Emrah."
"Farı","Yüce."
"Farımak","Yaşlanmak, yıpranmak, yorulmak."
"Farz","1.Müslümanlıkta özür olmadıkça yapılması zorunlu, yapılmaması günah sayılan Tanrı buyruğu. 2.Doğru sonuca varmak için yapılması zorunlu olan."
"Fasık","Günahkar , Hak yolundan hariç olan. Allah'ın emirlerine karşı zıt hareket eden. Büyük günah işleyen ya da küçük günahlarda ısrar eden kimse."
"Faş","Açma, ortaya çıkarma."
"Fazl","Lütuf."
"Fazlı yezdan","Tanrının lütfu."
"Fel","Fi'il. İş, tutum, davranış, oyunbozanlık, dek, desise."
"Felek","Gökyüzü, sema."
"Fem","Ağız."
"Fena","Yok olma, yokluk, geçiş gitme. Tasavvufta maddi varlıktan sıyrılıp Hakk'a ulaşma."
"Fena mülkü (Fena şehri)","Geçici dünya, kendi varlığından geçme."
"Fend","Hile, oyun."
"Ferace","Kadınlar için bol ve uzun üst giysisi. Başörtü."
"Ferağ","Gözyaşı."
"Fere keklik","Erginleşmemiş keklik."
"Ferhat","Ferhat ile Şirin Hikayesi'nin erkek kahramanı."
"Ferişte","Melek."
"Fetalına","Övgü."
"Fe-tebarekallah","Ne kadar bereketli, ne kadar güzel anlamında şaşma bildirir. Allah övmüşte yaratmış anlamında bir söz."
"Feyl","Düşünce, zihniyet."
"Fısk","Hak yolundan ayrılma, isyan etme, günah suç."
"Fıskı","Günahı, suçu."
"Fidanrıar","Fidanlar."
"Figan","Acıyla bağırma, inleme."
"Fil","Satranç oyununda çapraz hareket eden iki taşın adı."
"Firağ [firah]","Ayrılık, ayrılık acısı, firak."
"Firak","Ayrılık, ayrılma, kader, hüzün."
"Firez","Ekin, yeni çıkmaya başlamış ekin."
"Firkat","Dostlardan vesaireden ayrılık, ayrılış."
"Furkan","1.Kur'an. 2.İyiyle kötüyü, doğruyla yanlışı, hak ile batılı ayıran kanıt. 3.İyiyle kötü ve doğruyla yanlış arasındaki farkı gösteren her şey."
"Gaf","Gaflet hali."
"Gafil","Gaflette bulunan, ihmal eden, ilerisini düşünmeyen, dikkatsiz, dalgın."
"Gaflet","Dalgınlık, aymazlık."
"Gaflet boyağına boyanmak","Aymazlaşmak."
"Gafur","Gayretli, çok çalışkan. (Allah'ın adlarından biridir.)"
"Galasan","Kalasın"
"Galdır","Kaldır."
"Galmagal","Kavga, çekişme."
"Galmak","Kalmak."
"Gam","Keder, tasa, kaygı, dert."
"Ganad","Kanat."
"Gani","Zengin, varlıklı, bol, dolgun. (Allah'ın adlarından biridir.)"
"Gapi","Kapı."
"Gapuvan","Kapına."
"Gar","Kara"
"Gara","Kara"
"Gargış","Kargış, ilenç."
"Gasavat","Kasavet, tasa, kaygı."
"Gaş","Kaş."
"Gat","Birbirine tabi olmak, gizlemek."
"Gatığ","Katık, yağı alınmış yoğurt, lor ve benzeri yiyecekler."
"Gavga","Kavga, çekişme, uyuşmazlık."
"Gaya","Kaya."
"Gayı","Kaygı, tasa."
"Gayıtmak","Dönmek, geri dönmek."
"Gaymağ [kaymah]","Kaymak."
"Gaz [kaz]","Kaz."
"Gazel","Kuru yaprak, kuru güz yaprağı."
"Gazınan","Kaz ile."
"Geçende","Geçerken."
"Geçerem","Geçerim."
"Geçmek","Geçmek."
"Gede","Yoksul."
"Gedir","Gider, gidiyor."
"Gelek","Gelelim, gelelim ki."
"Gelem","Kalem."
"Gelende","Gelince, geldiğinde."
"Gelininen","Gelin ile."
"Geliptir","Gelmiştir, geliyor."
"Gelirem","Gelirim, geliyorum."
"Gelmir","Gelmiyor."
"Gelmişem","Gelmişim."
"Gemgin","Gamlı, üzüntülü."
"Gen","Geniş."
"Gence","Azerbaycan'da, Kuzey Kafkasya Dağları eteğinde bir yerleşim birimi. Rusça adı Kirovabad ya da Elisavetpol olan şehir. Leyla ile Mecnun, Husrev ile Şirin gibi halk öykülerini ilk kez mesnevi tarzında yazan büyük ozan Genceli Nizami'nin doğduğu yer."
"Ger I","Eğer ."
"Ger II","Geniş."
"Gerden","Gerdan. Vücudun omuzla baş arasında kalan bölümü, boyun."
"Gergef","Üzerine nakış işlemek için kumaşın ya da bezin gerildiği çerçeve, germe çerçevesi."
"Geri","Geri, ileri karşıtı."
"Gest ü güzar","Gezme, gezip tozma."
"Geşt","Gezme, dolaşma, seyretme."
"Getmek","Gitmek."
"Gevher","Elmas, değerli taş, bir şeyin aslı, özü, mücevher, ince."
"Gevher-i kan","Cevher madeni, kaynağı."
"Geymek","Giymek."
"Gezel","Kuru yaprak, kuru güz yaprağı."
"Gezişen","Gezişine, gezinişine."
"Gıl (Gıll)","Düşmanlık, balçık."
"Gıll giş","Pislik, yanlış işler ."
"Gılman","Bıyığı yeni bitmiş gençler, cennette hizmet gören delikanlılar"
"Gış","Kış."
"Gıya bakmak","1. Alıcı gözle bakmak. 2. yan bakmak."
"Gız","Kız."
"Gızıl","İran altını, altın para."
"Gidegin","Gidelim."
"Gidek","Gidelim."
"Gidim","Gideyim."
"Gine","Yine."
"Giriban","Yaka."
"Giriftar","(Giriftar olmak) Tutulmak, yakalanmak."
"Girmişem","Girmişim."
"Giyiniptir","Giyinmiştir."
"Gizlenbeç","Saklanbaç."
"Gocalığ","Kocalık, ihtiyarlık."
"Golbağ","Bilezik."
"Gonçe","Gonca, gül goncası."
"Gor","Mezar, sin."
"Gora","Koruk, üzüm."
"Gorhana","Anıt mezar, türbe."
"Goşa","Çift, iki."
"Govun","Kavun."
"Goynuvan","Koynuna."
"Göçüz","Göçünüz."
"Gög","1 .Gökyüzü. 2.Yeşil, yemyeşil."
"Göge","Gökyüzüne."
"Gögerçin","Güvercin."
"Gögl","Gönül."
"Gögnü","Gönlü."
"Gögnümü","Gönlümü."
"Gögül bendinin açılması","Gönlün erinçle dolması, sevdalanmak."
"Gönen","Nem."
"Gönenli Göl","Hikayede ve şiirde geçen bir göl."
"Gönül bendi","Gönül bağı, sevgi."
"Gör hanı-gör hani","Özlem, sitem bildirir soru. Göster nerde, göster nerede?"
"Görceğin","Görünce."
"Görek","Görelim."
"Göresiz","Göresiniz."
"Görset","Göster."
"Görünmürsen","Görünmüyorsun."
"Gösgü","Göksü."
"Gövce maş","Yeşil mercimek."
"Gövel","1 .Yeşil-mavi karışımı renk. 2.Erkek yabanördeği."
"Göy","Gök, gökyüzü."
"Göyçek","Gökçek, güzel."
"Göynü","Gönlü."
"Göynüm","Gönlüm."
"Göynüme","Gönlüme."
"Göynümü","Gönlümü."
"Göynünde","Gönlünde."
"Göz tüşmek","Göz takılmak, Sevdalanmak, aşık olmak"
"Gözel","Güzel."
"Gözeller","Güzeller."
"Gözlerimnen","Gözlerimden."
"Gözümm","Gözümün."
"Gucma","Kucaklama, sarılma eylemi."
"Gulam","Köle, esir."
"Gurap","Karga."
"Gurban","Kurban."
"Gussalanmak","Tasalanmak."
"Güftar","Söz."
"Güher","Mücevher ."
"Gül misali","Gül benzeri, güle nisbet."
"Gülam","Köle."
"Güleş","Güreş."
"Güli","Gülü."
"Gülistan","Gül bahçesi."
"Gülşan","Gülşen, gül bahçesi."
"Gülümi","Gülümü."
"Gülünmez","Gülmez, gülemez."
"Gülüptür","Gülüyor, gülmüştür."
"Güman","1.Umut. 2.Kuşkulu umut, ikircim. 3.Bilgi."
"Güne","1.Güneş alan yer, güneşli yer. 2.Yer adı."
"Günevi","Güneşin doğduğu yer, doğu yönü."
"Günü yetmek","Günü, zamanı gelmek."
"Günüz","Gündüz."
"Güruh u Naci","Kurtulmuş topluluk."
"Gürülenmek","Artar biçimde alazlanarak yanmak, harlanmak."
"Güvah","Şahit, delil, tanık."
"Güz","Sonbahar."
"Güzar","Dolaşma, gezinti."
"Hab","Gizli, saklı."
"Habar","Haber."
"Habar etmek","Haber göndermek, haber salmak, haber iletmek."
"Haber eylemek","Haber göndermek, haber vermek."
"Hab-ı gaflet","Gaflet uykusu."
"Hadi","Hidayete ermiş, mürşit."
"Hak","Hakk, Tanrı."
"Hak ı yeksan","Yerle bir olmak."
"Hak kelamı","Tanrı sözü, Tanrı buyruğu."
"Hakayık","Hakikatler ."
"Hak-ı yeksan","Yerle bir, toprakla bir."
"Hak-i pay","Ayak toprağı."
"Hakikat-i serencam","Baştan geçen gerçek olaylar."
"Hakipay","Ayak toprağı, ayak basılan toprak"
"Hakkın fermanı","Tanrınıın buyruğu."
"Hal","Ben."
"Hal I","Durum."
"Hal II","Yüzde ve vücutta bulunan ufak, koyu renkli leke, kabartı, ben."
"Halas","Kurtulma, kurtuluş."
"Haldan","Halinden, durumundan."
"Halfet","Yalnızlık, dervişlerin tapınma için tek başlarına bir yere kapanmaları, alvet."
"Halh","Halk"
"Hal-hal","Halhal, kadınların ayak bileklerine taktıkları bilezik. 2. Bir yer adı."
"Halhalınnan","Halhalından."
"Halım","Halim."
"Halıma","Halime."
"Halın","Halin."
"Hali","Tenha, boş, sahipsiz yer, kayıtsız, uzak."
"Hallara","Hallere."
"Halları","Halleri."
"Hallarımızı","Hallerimizi."
"Ham","Terbiye görmemiş kişi, çiğ."
"Hama","Suriye'de, Asi Irmağı kıyısında kurulu, dokumalarıyla ünlü şehir."
"Hama kuşağı","Hama şehrinde dokunan bir cins kuşak."
"Hamakat","Ahmak, budala."
"Haman-ı dil","Gönül eşi, sevgili."
"Hamaret","Kızıllık."
"Hamayıl","Hamail, muska, tılsım, bağ."
"Hamza","Arap savaşçısı. Abdülmuttalib'in oğlu ve Hz.Muhammed'in amcası. Ölümü: Uhud Savaşı, 625."
"Han","Eski Türkler'de kağana bağlı ya da bağımsız beylerin başkanı."
"Han Ağrı","Ağrı Dağı"
"Han Aslı","Aşık Kerem'in sevgilisi, Aslı-Han."
"Han Emrah","Ercişli Emrah."
"Han Selbi","Bkz. Selbihan."
"Hane","Bağlam, dörtlük"
"Hannar","Hanlar."
"Hannas","Şeytan."
"Hannon","Çok acıyan, çok acıyıcı (Allah'ın adlarından biri)."
"Hanüman","Ev, bark."
"Har","Diken, yıkılmış."
"Har I","Diken."
"Har II","Ateş."
"Har od","Alevli, alazlı ateş."
"Harabat","Harabeler, viraneler, meyhaneler. Ziya Paşanın üç ciltlik antolojisi."
"Harami","Haydut, kır uğrusu."
"Hark","Su yolu."
"Hasanbey","Bir kavun türü."
"Hasbeten lillah","Allah rızası için."
"Haset","Kıskançlık."
"Hasretem","Hasretim."
"Hasretinnnen","Hasretinden."
"Hastayam","Hastayım."
"Haşa","Asla, kesinlikle, hiçbir zaman."
"Haşimi","Yüzdeki benlere biçimlerine göre verilen bir ad."
"Haşri neşir","Kıyamet."
"Hat","Kaş, saç, kirpik."
"Hatem","Çok cömert (adam), mühür , üstü mühürlü yüzük, Arap kabileleri"
"Havar","Bağırtı, yardım dileme."
"Havarice","Dışarıdakiler , yabancılar ."
"Havas","Heves, istek."
"Havf","Korku."
"Hay","Kaygı."
"Hayalımda","Hayalimde."
"Hayallanmak","Hayale kapılmak, dalgınlaşmak"
"Hayana","Ne yana, ne tarafa?"
"Hayfa","Eyvahlar olsun, yazıklar olsun."
"Hayıfalmak","Öç almak."
"Hayret","Şaşma, şaşırma, şaşakalma, ne yapacağını bilememe."
"Hayva","Ayva."
"Hazer Etmek","Sakınma, çekinme. Uzak durmak, korunmak."
"Hazret'i Mevla","Tanrı."
"Heba olmak","Boşa gitmek, ziyan olmak."
"Heç","Hiç."
"Hedeng","Ok."
"Hele","Pekiştirme bağı, özellikle, hiç olmazsa, önce."
"Hemi","Hem, hem de."
"Hercai","1.Hiçbir şeyde kararlı olmayan kimse, gelgeç, yeltek. 2.Aşkta değişken."
"Herk","Anıza bırakma."
"Hevik","Yazık."
"Hey","Hey, ey!"
"Heyder","Der, der ki."
"Heyran","Hayran."
"Heyva","Ayva."
"Hezar","Bin."
"Hıfzet","Saklamak, aklında tutmak."
"Hına","Kına."
"Hınalı","Kınalı."
"Hırınan","Harman."
"Hışm","Hışım, öfke."
"Hıyaban","iki tarafı ağaçlık, geniş yol. Bulvar."
"Hızır","Bkz: Hızır İlyaz."
"Hızır İlyas","Bkz: Hızır İlyaz."
"Hızır İlyaz","Hızır-İlyas. Hızır ve İlyas Peygamberler. Hızır ile İlyas'ın aynı ulu kişi oluğuna inanıldığı gibi, Hızır ile İlyas'ı kardeş sayan halk inanışları da vardır. İnanışa göre İlyas yağmura egemendir. İlyas'ın peygamberliği Kur'an'da anılır. Hızır da Kur'an'da geçer. Halk inancına göre Hızır ölümsüzlüğe ''Bengisu''yu (Abıhayat) içerek kavuşmuştur. Hakk katından aşıklık bağışlananlara aşk badesini sunanlardan başlıcasıdır. Hızır inancını Gılgamış desdanına bağlayan görüşler de vardır. Hızır, darda kalanlara yardım edicidir. ''Kul bunalmayınca Hızır yetişmez.'' Halk takviminde yazın başlangıcı sayılan 6 Mayıs (Hıdrellez (Hızır/Hıdır ­İlyaz) günü, Hızır ile İlyas'ın kavuştukları gün sayılır. İnanca göre Hızır'ın atı ''Bozat'' dır. Tüm Doğu Anadolu'da Hızır, ''Bozatlı Hızır'' olarak anılır."
"Hicab","Hicap, utanma, utanç."
"Hicabınnan","Utancından."
"Hicran","Ayrılık."
"Hicran piltesi","Ayrılık ateşi."
"Hicret","Memleketten memlekete göç, Hz. Peygamber'in Mekke'den Medine'ye göç etmesi ki İslam takviminde tarih başı sayılır."
"Hiçe Çalmak","Önem vermemek."
"Hidayet","Olgunluk."
"Himemat","Himmetler ."
"Hindi","Şimdi."
"Hitam","Son, nihayet, bitme, tükenme."
"Hon u kudret","Kudret sofrası."
"Honça","1.Bohça, çıkın. 2.Bir yere giderken götürülen armağan. 3. Geline gönderilen armağan sinisi. 4. Sofra."
"Honça çekmek","Armağan götürmek"
"Horasan","İran'da bölge ve eski bir eyalet. İran yaylasının en doğu kesimindedir. Başlıca şehri Meşhed'dir."
"Hoş [hoş]","Beğenilen, zevk veren, güzel."
"Hoy","Batı İran'da, Urmiye gölünün kuzey batısında [Çaldıran ovasının güney doğusunda] kurulu tarihi Türk şehri. Hoy, Anadolu'nun alınmasında üs olarak kullanıldı. Şah İsmail ile Yavuz Sultan Selim arasındaki Çaldıran Savaşı Hoy yakınlarında yapıldı. (1514). İran-Osmanlı savaşlarında birkaç kez Osmanlılar'ın eline geçti. Hoy, değişik halk destanlarında ve hikayelerinde geçer."
"Hoy duzu","Hoy Ovası."
"Hoyrat","Kaba, kırıcı."
"Hökmedin","Hükmedin."
"Höküm","Hüküm, yargı, yargı kararı."
"Hu","Ünleme, selam."
"Hub","Güzel, hoş, iyi, sevgi."
"Huban","Güzeller, iyiler."
"Hubbu'l-vatan","Vatan sevgisi."
"Hublar şahı","Güzeller güzeli, güzel kadınların en üstünü."
"Hubluğun Çağı","Güzellik çağı."
"Huda","Tanrı."
"Huma","[bkz: hüma]"
"Humar","Baygın bakışlı."
"Humarlanmak","Baygınlaşmak, süzülmek."
"Hun","Kan, kanlı."
"Hurç","Heybe."
"Huri","Cennette yaşadığına inanılan kızlara verilen ad, genç ve çok güzel kadın."
"Hus-ı cemal","Güzel yüz, yüz güzelliği."
"Hükmeder","Hükmeder."
"Hüma","Hüma. hümay. Güvercin büyüklüğünde, zümrüt yeşili kanatlı, üzerinden gcçtiği kimselere zenginlik ve mutluluk getireceğine inanılan kuş [Huma kuşu], devlet kuşu."
"Hünkar","Kaşların güzelliğini anlatmak için kullanılan bir benzetme."
"Hüri","Huri."
"Hüri misal üzlü","Cennet güzeli yüzlü, cennet güzeli benzeri."
"Hüri tek","Huri gibi."
"Hürü","Huri."
"Hürüsen","Hurisin."
"Hüsn","Güzel, iyi, güzellik, iyilik."
"Hüsn i cemal","Güzel yüz, yüz güzelliği."
"Hüsn i yar","Sevgilinin güzelliği."
"Ilgar","Verilmiş söz, ant."
"Irağ","Irak, uzak."
"Irak","Irak, uzak."
"Irgalamak","Yerinden oynatmak, sallamak, sarsmak."
"Irk-ı tahir","Irkı temiz."
"Irma","Uzaklaştırma, kaybetme."
"Issı","Sıcak."
"İbadet","Tanrı buyruklarını yerine getirme, Tanrı'ya yönelik saygı davranışı, tapmma, kült."
"İblis","Şeytan."
"İçerem","İçerim."
"İçmeyem","İçmeyeyim."
"İçün","İçin."
"İflah","Onma, zor durumdan kurtulma, iyi duruma gelme."
"İflah etmez","Ondurmaz."
"İflah eyler","Ondurur."
"İgit","Yiğit, erkişi."
"İğenli","Güzel kokulu."
"İğva","Hırsmı uyandırma, kışkırtma."
"İhlas","Gönülden gelen dostluk, içtenlik, doğruluk, özlü, halis olmak."
"İkdam","Gayret ve sebatla devamlı çalışma."
"İkikuş","Şiirde geçen bir yer adı."
"İkrar","Mürşide teslim olmada verilen söz."
"İkrar vermek","Söz vermek."
"İlgar","Verilmiş söz, ant, ılgar ."
"İlişmek","Yakalanmak, tutulmak."
"İm","Anlam yükletilen şey, işaret."
"İmaret","Mamur etmek, şenlendirmek."
"İmran","Kur'an'ı Kerim'in üçüncü suresi."
"İncü","İnci."
"İndi","Şimdi, imdi."
"İntiha","Son, nihayet, eğitme."
"İntizar","Bekleme, beklenilme, gözleme."
"İnzal olmak","İndirmek, indirilmek."
"İravan-Eli","İravan İli, Erivan."
"İreli","İleri."
"İrevan","Erivan."
"İrhan","Reyhan, fesleğen."
"İrşad","Doğru yolu gösterme, uyarma, Hak yoluna götürme. (Bu işi yapanlara mürşid denir)"
"İsfahan","İran'da X. Eyaletin merkezi olan şehir. Isfahan, Zargos'un doğu yüzünün eteğindedir. Karışık asıllı olan halknın çoğunluğu Türkçe konuşur."
"İsgender'i Zülkar","Büyük İskender. İ.Ö. 356-323. Makedonya kralı. Philippos II.nin oğlu. Aristotales'in öğrencisi. Genç yaşta babasının yerine geçti. Anadolu'yu ve İran'ı egemenliğine aldı. 13 Haziran 323 günü, Doğu dünyasnın egemeni olarak otuz üç yaşında öldü."
"İstifsar etme","İfade etme, sorma, sorup anlama."
"İşve","Kadınların hoş aldatıcı tavırları, naz, cilve."
"İtgin","Yitik, yitkin."
"İtirmek","Yitirmek, kaybetmek."
"İtirmişem","Yitirmişim, kaybetmişim."
"İtirmiştir","Yitirmiştir, kaybetmiştir."
"Kable en temüti","Ölmeden evvel ölünüz.(Hadis-i şerif),(Alevi-Bektaşi yolunda bir ön koşul)."
"Kad","Boy."
"Kada","Kaza, kötülük, yıkım, ilenç."
"Kadem","Ayak. Adım. Metrenin üçte biri kadar olan uzunluk. Oniki parmak uzunluğu, yarım arşın. Uğur."
"Kadem Basmak","Ayak basmak, varmak."
"Kadim","Ayak basan. Ulaşan, varan. Devamlı."
"Kadir Mevla","Gücü sonsuz Tanrı."
"Kaf","Söylence ve masallara göre yerküreyi çevreleyen zümrüt dağ. Kafdağı. Kafda koymak: Mutluluğa, esenliğe kavuşturmak."
"Kaf ü nun","Kün. Tanrı'nın yaratma eylemini başlatan ''kon'' (ol) buyruğunu anlatan ''k'' (kaf) ve ''n'' (nun) harflerinin birlikte söylenişi."
"Kafdan Kafa hükmetmek","Kafdağı'ndan Kafdağı'na; yer kürenin bir ucundan bir ucuna hükmetmek."
"Kaftan","çoğu ipekli, uzun, süslü üst giysi."
"Kail","Söyleyen, diyen. Razı olmuş, boyun eğmiş."
"Kala","Kale, hisar."
"Kalem kaş","İnce, düzgün kaş."
"Kalım mı","Kalayım mı?"
"Kalıram","Kalırım."
"Kalmışam","Kalmışım."
"Kalmıyıp","Kalmamış."
"Kalnğız","Kanmışız."
"Kalu","Dediler. Onlar söylediler (mealinde fiil)."
"Kalu beli","Evet dediler."
"Kam","Dilek, İstek, umut."
"Kam almak","Dileğe, isteğe, umuda kavuşmak."
"Kamaşma","Fazla ışık nedeniyle gözün bakamaz duruma gelmesi."
"Kamaşti","Kamaştı."
"Kame","Kama, silah olarak kullanılan iki ağızlı, iki ağzı da kesici uzun bıçak."
"Kamer","Ay."
"Kamet","Namaza başlama işareti, namaz kılmak için okunan ezan. Boy, boy-pos, endam."
"Kamu","Bütün."
"Kan","Maden ocağı, kaynak, memba."
"Kan'an","Kenan Ülkesi. (Adanmış Ülke. Dinsel kaynaklara göre Hz. Yusuf'un ülkesi. Batıda Akdeniz, doğuda Şeris ırmağıyla sınırlıydı. Filistin ve Fenike'yi içine alırdı. Kenanlılar ülkeye İ.Ö. 9000'e doğru yerleşmiş Samiler idi. Mısır'dan çıkan İsrailliler İ.Ö.1200'e doğru Kenan ülkesini ele geçirdiler. İncil'e göre Tanrı bu toprakları İsrailliler'e adamıştır. Kenan ülkesi halk anlatılarında çoğunlukla Yusuf'la birlikte geçer. Bkz:Yusuf.]"
"Kanara","Büyük, kaba budaklı ağaç."
"Kançeri","Nereye kadar."
"Kande","Nerede."
"Kanı","Nerde nerede?"
"Kanlısı olmak","Ölümüne neden olmak."
"Kapı","Kapı."
"Kapısın","Kapısını."
"Kapıyan","Kapma."
"Kar","Etki."
"Kara çalmak","1. Suç yüklemek 2. Sürme çekmek."
"Karabağır","Acılı yürek."
"Karahal","Kara benekli bir av kuşu."
"Karakoyunnu","Karakoyunlu, Karakoyunlu Türkmeni."
"Karakuş","Kartal türünden yırtıcı kuş."
"Karal","Karar, dayanç, dayanma gücü."
"Karayel","Karayel, kuzeybatıdan esen soğuk rüzgar."
"Karayer","Acun."
"Kargış","İlenç."
"Kasar","Üşenme, tembellik etme. Boğazı tutup nefes aldırmayan bir zahmet. Çeker. Sıkar."
"Kasr(kasır)","Saray."
"Katam","Katayım."
"Katar","1 .Bir kervanı oluşturan dizi. 2.Göçmen kuşların göç dönemlerinde havada oluşturdukları küme, dizi, sıra."
"Katar katar","Sıra sıra."
"Katarlaşmak","Göç dizisini oluşturmak."
"Katib-ı dircan","Toplayıp yazan."
"Katre","Damla."
"Kavi","Dağlayan, yakan, yakıcı, kuvvetli, güçlü, sağlam."
"Kavil","1. Söz. 2. Sözleşme, anlaşma."
"Kavl","Lakırdı, söz, sözde, sözleşme."
"Kavlince","Söze, sözleşmeye uygun."
"Kavvas","Oklu asker, bekçi, kapıcı."
"Kaygu","Kaygı."
"Kayıtmak","Dönmek, geri dönmek."
"Kaytarmak","1. Geri çevirmek. 2. Geri dönmek."
